Configuration	NARA
STM32CubeMX 	4.25.0
Date	04/02/2018
MCU	STM32H743VITx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN8 Single-ended	ADC1_INP8	PC5
ADC1	IN9 Single-ended	ADC1_INP9	PB0
ADC1	IN10 Single-ended	ADC1_INP10	PC0
ADC1	IN11 Single-ended	ADC1_INP11	PC1
ADC1	Single-ended	ADC1_INP18	PA4
ADC1	Single-ended	ADC1_INP19	PA5
I2C1	I2C	I2C1_SCL	PB6
I2C1	I2C	I2C1_SDA	PB7
I2C2	I2C	I2C2_SCL	PB10
I2C2	I2C	I2C2_SDA	PB11
I2C3	I2C	I2C3_SCL	PA8
I2C3	I2C	I2C3_SDA	PC9
I2C4	SMBus-Alert-mode	I2C4_SCL	PB8
I2C4	SMBus-Alert-mode	I2C4_SDA	PB9
I2C4	SMBus-Alert-mode	I2C4_SMBA	PD11
RCC	Crystal/Ceramic Resonator	RCC_OSC_IN	PH0-OSC_IN
RCC	Crystal/Ceramic Resonator	RCC_OSC_OUT	PH1-OSC_OUT
SPI3	Full-Duplex Master	SPI3_MISO	PC11
SPI3	Full-Duplex Master	SPI3_MOSI	PC12
SPI3	Full-Duplex Master	SPI3_SCK	PC10
SPI3	Hardware NSS Output Signal	SPI3_NSS	PA15
SYS	Serial Wire	SYS_JTCK-SWCLK	PA14
SYS	Serial Wire	SYS_JTMS-SWDIO	PA13
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM1	Trigger Mode	TIM1_VS_ControllerModeTrigger	VP_TIM1_VS_ControllerModeTrigger
TIM1	ITR1	TIM1_VS_ClockSourceITR	VP_TIM1_VS_ClockSourceITR
TIM1	Output Compare CH1 CH1N	TIM1_CH1	PE9
TIM1	Output Compare CH1 CH1N	TIM1_CH1N	PE8
TIM1	Output Compare CH2 CH2N	TIM1_CH2	PE11
TIM1	Output Compare CH2 CH2N	TIM1_CH2N	PE10
TIM1	Output Compare CH3 CH3N	TIM1_CH3	PE13
TIM1	Output Compare CH3 CH3N	TIM1_CH3N	PE12
TIM2	Internal Clock	TIM2_VS_ClockSourceINT	VP_TIM2_VS_ClockSourceINT
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH1	PA0-WKUP
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH2	PA1
TIM2	XOR ON / Hall Sensor Mode	TIM2_CH3	PA2
TIM3	Output Compare CH1	TIM3_CH1	PB4
TIM3	Output Compare CH2	TIM3_CH2	PB5
TIM4	Internal Clock	TIM4_VS_ClockSourceINT	VP_TIM4_VS_ClockSourceINT
TIM4	XOR ON / Hall Sensor Mode	TIM4_CH1	PD12
TIM4	XOR ON / Hall Sensor Mode	TIM4_CH2	PD13
TIM4	XOR ON / Hall Sensor Mode	TIM4_CH3	PD14
TIM8	Trigger Mode	TIM8_VS_ControllerModeTrigger	VP_TIM8_VS_ControllerModeTrigger
TIM8	ITR2	TIM8_VS_ClockSourceITR	VP_TIM8_VS_ClockSourceITR
